231,16.4,32.9,22.4,29.9
232,18,32.6,23.2,29.4
233,11.6,31.4,24.4,30.1
234,11.1,27.5,24.5,30.6
235,15.9,26.9,23.2,29.7
236,19.1,28.8,23.3,30
237,14.9,29.5,23.3,29.3
238,13.1,29,23.4,29.9
239,14.5,27.7,23.8,30.3
240,14.9,26.3,24.6,29.8
241,14.9,22.8,22.6,29.7
242,12.8,26.6,22.7,27.8
243,10.9,27.2,22.1,28.5
244,10.4,26.7,22.4,28.8
245,8,26.8,25,30.6
246,6.4,23.8,24.6,30.9
247,9.3,16.3,24.7,28.9
248,12.7,21,24.9,31.4
249,16.4,27.6,24.8,31.2
250,16.3,27.7,24.7,30.7
251,12.7,26.8,23.9,29.8
252,7.4,23.7,24.1,29.8
253,11.7,24.3,24,28.9
254,11.8,24.8,24.2,28.6
255,10.3,24.1,24,27.7
256,13.9,21.9,24.1,28.2
257,16.7,21.9,24,27.9
258,12.3,29.1,23.7,29.2
259,8.9,27.1,23.2,29.5
260,7.4,26.1,23.1,29.1
261,11.7,22.3,22.9,29.4
262,15.8,22.3,22.8,29.6
263,15.7,27.1,22.3,28.1
264,11.6,24.1,22.9,27.8
265,6.6,20.9,22.3,27.2
266,7.2,20.9,22.7,26.5
267,9.7,21.2,22.8,27.3
268,10,26.8,22.9,28
269,9.2,27.2,23.2,27.2
270,8.2,26.4,23,27.3
271,4.4,19.5,22.4,26.5
272,8.4,20.1,23.6,25.5
273,11.5,20.4,23.6,26.3
274,9.6,20.2,23.2,27.2
275,7.2,21.3,23.3,28.8
276,6.3,22.5,23.5,29.8
277,8.4,21.6,21.4,29.2
278,10.1,19.4,22.3,28.6
279,8.9,15.6,21.1,28.7
280,6.6,12.8,20.7,27.4
281,5.7,16,22.4,27.5
282,5.9,15.1,22.4,27.2
283,9.5,15.1,22.3,27.3
284,7.4,23.5,21.9,27.7
285,2.7,22.7,19.6,25.5
286,1.3,15.4,18.1,26.7
287,-0.9,16.1,19.3,24.5
288,1.6,16.1,20.7,25.9
289,1.9,14.4,21.5,26.6
290,7.2,20.6,22.2,26.4
291,7.9,21.5,21.6,25.8
292,5.6,21.6,21.3,23.4
293,2.4,21,20.1,23.5
294,0.2,18.6,18.1,24.3
295,2.2,17,18.7,24.5
296,0.4,16.3,21.5,24.2
297,-1.3,14.4,20.9,25.2
298,-3,13.9,19.7,24.5
299,-3.2,11.5,19.7,24.2
300,-2.2,11.9,22.1,24.2
301,-2.8,8.5,21.6,27.8
302,1.6,6.5,21.2,26.6
303,-3.1,9.9,19.7,26.7
304,-3.7,11.8,15.7,23.9
305,-3,11.2,15.3,22.9
306,-8.1,4.4,18.1,25.4
307,-1.1,6.5,19.7,25.7
308,-1.4,6.1,18.9,25.4
309,-2.1,4.9,19.8,25.4
310,-3.2,10.3,18.4,25.7
311,-3.8,9.5,19.4,25.5
312,-3.6,5.3,20,25.1
313,-6.5,3.8,21.3,25.1
314,-3,2,20.6,25.5
315,-5.7,-0.5,21,24.9
316,-3,-0.5,20.6,25
317,0.5,-0.5,20,24.2
318,4,-0.5,18.8,24.2
319,-2,10,16.9,23.7
320,-3.8,9.4,19,24.4
321,-4.2,11.5,17.9,24.7
322,-0.8,15.7,17.2,24.1
323,-3.1,14.4,17.1,23
324,-4.4,12.4,15.2,23.2
325,-5.6,11,14.8,19.8
326,-4.2,9.2,15.8,23
327,-5.5,8.7,16.7,24
328,-4.6,6.6,21,24
329,-4.3,5.3,20.3,24.5
330,-6.5,4.8,20.2,24.6
331,-3.5,4.8,19.7,25.7
332,-7.6,4.1,19.3,25.6
333,-8.5,2.9,18.7,24.4
334,-9.5,-0.9,18.3,23.5
335,-5.7,1.5,18.6,23.7
336,-6,1.2,18.6,23.2
337,-4.7,1.2,18.1,23.2
338,-7.2,6.6,17.2,22.5
339,-9.2,6.1,17.2,21.9
340,-4.3,5.6,16.2,20.8
341,-3.6,5.7,15.1,20.9
342,-6.1,5.3,13.8,18.7
343,-6.2,3.3,13.1,18.9
344,-8.9,-0.5,14.4,18.9
345,-10.4,-3.5,17.7,22.5
346,-9.5,1.1,18,22.9
347,-2.7,0.8,18.1,23.6
348,-2.7,0.8,18.3,24
349,-5.5,3.4,18.3,23.8
350,-1,2.4,18,22.4
351,-7.3,3.8,17.8,22.6
352,-9.5,3.4,18.4,22.2
353,-2.7,2.6,18.1,22.3
354,-4.5,6.4,17.9,22.9
355,-5.8,7.3,18.3,23.2
356,-6.8,6.8,18.6,22.2
357,-9.1,5.2,19,23.2
358,-5.4,4.5,18.5,24.1
359,-9.6,0.8,17.9,23.5
360,-8.8,2.8,17.4,22.7
361,-3.9,5.2,18.3,23.9
362,-4.2,8.4,17.5,23.5
363,-7.7,5.7,16.8,22.2
364,-4.8,5.9,18.7,23.7
365,-6.9,3.1,19.5,23.5
366,-8,4.3,18.3,23.6
